age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group
65,MALE,0,0,36,29,1,17,1,4.8,Subscribed,0,1,44,5,2,3
31,MALE,2,1,94,37,2,11,3,4.7,Subscribed,0,1,3,5,2,1
45,MALE,4,3,33,6,0,7,3,4.4,Subscribed,5,1,49,3,4,0
57,MALE,7,0,46,43,0,19,2,3.9,Subscribed,3,1,21,1,2,0
48,MALE,1,0,70,41,2,5,2,4.4,Subscribed,1,1,5,1,6,0
22,MALE,1,0,29,0,1,11,0,4.2,Subscribed,1,1,32,3,2,1
36,MALE,5,1,48,45,0,6,2,2.9,Subscribed,1,1,34,0,0,2
18,MALE,5,1,26,9,1,13,3,2.9,Subscribed,5,1,21,0,2,1
48,MALE,13,1,85,10,1,20,1,2.7,Subscribed,2,1,43,0,1,0
49,MALE,6,0,58,13,0,22,1,4.5,Subscribed,1,1,3,1,4,0
64,MALE,15,0,85,43,1,2,2,2.7,Subscribed,2,1,21,2,0,3
50,MALE,8,0,43,7,2,20,2,4.2,Subscribed,2,1,32,5,4,0
22,MALE,5,1,53,7,0,6,2,3.3,Subscribed,3,1,36,3,3,1
50,MALE,19,1,91,26,1,12,1,4.7,Subscribed,2,1,50,5,3,0
38,MALE,10,3,96,14,1,13,3,2.6,Subscribed,0,1,43,0,2,2
19,MALE,14,2,72,31,3,2,2,3.750064716541548,Subscribed,5,1,24,2,2,1
67,MALE,17,2,96,45,0,12,2,2.6,Subscribed,1,1,36,2,2,3
19,MALE,13,1,28,9,2,13,1,4.0,Subscribed,0,1,21,2,2,1
36,MALE,5,1,40,42,1,21,2,4.1,Subscribed,4,1,34,0,6,2
52,MALE,4,3,32,2,2,15,1,4.4,Subscribed,4,1,42,0,2,0
53,MALE,22,0,95,30,1,4,3,4.5,Subscribed,3,1,2,3,1,0
24,MALE,9,1,41,27,0,16,1,3.7,Subscribed,0,1,47,1,1,1
52,MALE,17,2,53,34,1,8,0,3.7,Subscribed,0,1,44,3,3,0
33,MALE,24,1,47,49,1,14,0,3.5,Subscribed,2,1,35,2,4,2
47,MALE,10,3,83,4,3,16,0,3.6,Subscribed,3,1,15,1,5,0
25,MALE,8,0,48,39,0,22,2,2.9,Subscribed,1,1,29,2,4,1
44,MALE,15,0,99,39,2,8,3,4.6,Subscribed,4,1,18,2,2,2
61,MALE,10,3,87,42,1,13,3,4.4,Subscribed,0,1,13,5,2,3
37,MALE,23,1,62,8,1,17,0,4.5,Subscribed,4,1,46,2,6,2
58,MALE,19,1,76,27,2,19,1,4.6,Subscribed,2,1,28,2,6,3
37,MALE,20,2,100,24,0,16,0,3.8,Subscribed,2,1,48,4,4,2
32,MALE,6,0,73,7,2,6,1,3.750064716541548,Subscribed,1,1,43,5,2,2
21,MALE,17,2,92,45,1,20,3,4.8,Subscribed,5,1,37,1,0,1
20,MALE,11,1,67,31,3,20,1,2.6,Subscribed,3,1,20,0,0,1
26,MALE,9,1,40,24,3,9,2,3.7,Subscribed,1,1,33,3,5,1
62,MALE,22,0,98,40,1,12,0,2.7,Subscribed,1,1,31,1,3,3
27,MALE,4,3,85,33,3,23,1,4.6,Subscribed,1,1,50,2,1,1
51,MALE,21,1,67,35,0,22,3,4.8,Subscribed,3,1,35,2,5,0
54,MALE,3,2,89,47,0,18,3,4.0,Subscribed,3,1,22,5,1,0
55,MALE,22,0,24,28,0,16,1,4.4,Subscribed,0,1,1,4,4,0
69,MALE,0,0,96,31,1,4,0,3.6,Subscribed,3,1,4,0,0,3
64,MALE,10,3,35,22,0,23,2,3.7,Subscribed,4,1,31,2,4,3
28,MALE,20,2,67,19,0,13,3,3.1,Subscribed,3,1,46,4,3,1
70,MALE,21,1,79,25,0,17,1,3.4,Subscribed,3,1,32,0,1,3
58,MALE,24,1,85,0,1,22,1,2.6,Subscribed,3,1,43,0,3,3
56,MALE,0,0,26,31,1,1,2,4.0,Subscribed,4,1,26,5,3,0
26,MALE,1,0,75,20,0,17,2,5.0,Subscribed,2,1,9,2,0,1
37,MALE,6,0,65,8,1,18,1,4.3,Subscribed,2,1,28,4,1,2
44,MALE,8,0,54,29,0,12,3,3.1,Subscribed,3,1,20,4,5,2
70,MALE,4,3,95,20,2,2,2,3.7,Subscribed,5,1,9,1,6,3
53,MALE,19,1,94,49,1,7,1,3.8,Subscribed,4,1,48,3,2,0
55,MALE,17,2,86,45,2,2,1,3.4,Subscribed,2,1,12,5,0,0
50,MALE,14,2,32,40,0,24,2,4.6,Subscribed,1,1,29,1,3,0
50,MALE,23,1,45,16,0,14,0,4.8,Subscribed,0,1,27,1,1,0
38,MALE,4,3,76,49,1,14,0,4.3,Subscribed,1,1,44,1,0,2
64,MALE,8,0,84,47,0,18,2,4.0,Subscribed,1,1,32,0,0,3
19,MALE,18,1,72,45,1,13,3,4.2,Subscribed,4,1,11,1,3,1
40,MALE,0,0,40,46,0,3,1,4.8,Subscribed,0,1,44,1,3,2
57,MALE,23,1,89,17,0,3,0,3.1,Subscribed,2,1,46,1,6,0
44,MALE,23,1,86,27,1,7,1,3.1,Subscribed,3,1,50,4,0,2
49,MALE,18,1,54,4,1,9,3,3.6,Subscribed,3,1,45,5,2,0
43,MALE,18,1,36,23,0,16,1,3.9,Subscribed,5,1,48,1,2,2
24,MALE,23,1,89,23,1,7,3,4.8,Subscribed,3,1,26,2,6,1
20,MALE,15,0,32,4,1,6,1,4.7,Subscribed,4,1,21,2,3,1
24,MALE,5,1,67,37,3,13,2,4.2,Subscribed,0,1,49,4,1,1
44,MALE,15,0,39,16,0,22,0,3.7,Subscribed,3,1,13,4,3,2
28,MALE,19,1,29,18,0,9,2,3.9,Subscribed,4,1,46,2,6,1
30,MALE,0,0,58,30,1,14,0,4.7,Subscribed,0,1,42,4,6,1
52,MALE,23,1,65,25,1,22,3,2.5,Subscribed,3,1,25,5,0,0
43,MALE,8,0,94,42,0,7,0,4.9,Subscribed,5,1,25,1,4,2
43,MALE,14,2,81,15,1,17,0,4.1,Subscribed,1,1,12,4,5,2
39,MALE,2,1,86,39,1,23,3,3.3,Subscribed,2,1,4,3,5,2
68,MALE,20,2,43,5,1,21,1,4.7,Subscribed,2,1,38,4,6,3
68,MALE,19,1,29,9,1,12,3,4.4,Subscribed,5,1,42,0,6,3
49,MALE,4,3,95,8,1,23,0,3.8,Subscribed,5,1,30,5,0,0
63,MALE,16,1,28,32,0,24,0,3.9,Subscribed,0,1,50,2,6,3
56,MALE,6,0,46,45,1,21,0,4.9,Subscribed,2,1,45,4,6,0
37,MALE,10,3,58,26,0,22,0,3.1,Subscribed,2,1,33,2,3,2
30,MALE,4,3,48,24,1,0,0,2.7,Subscribed,5,1,25,4,5,1
19,MALE,17,2,43,29,1,19,0,3.2,Subscribed,1,1,25,1,4,1
24,MALE,12,0,95,24,1,20,0,4.5,Subscribed,4,1,44,3,5,1
52,MALE,19,1,30,5,2,1,0,4.0,Subscribed,4,1,21,5,3,0
63,MALE,17,2,64,11,1,17,2,3.5,Subscribed,0,1,31,0,3,3
37,MALE,6,0,90,49,1,7,0,2.6,Subscribed,5,1,47,3,0,2
38,MALE,13,1,76,7,1,23,2,3.2,Subscribed,2,1,14,4,4,2
35,MALE,3,2,96,4,0,5,0,4.9,Subscribed,4,1,17,3,2,2
28,MALE,22,0,47,33,0,21,0,4.5,Subscribed,3,1,3,5,0,1
30,MALE,16,1,85,39,2,3,2,4.3,Subscribed,1,1,42,5,0,1
69,MALE,9,1,55,32,1,12,3,3.2,Subscribed,4,1,22,3,0,3
41,MALE,5,1,98,35,1,4,0,3.6,Subscribed,3,1,21,5,5,2
63,MALE,21,1,77,18,2,13,1,4.3,Subscribed,2,1,21,0,5,3
35,MALE,18,1,26,24,1,10,0,4.0,Subscribed,4,1,40,3,0,2
36,MALE,8,0,68,44,2,24,0,3.0,Subscribed,3,1,1,0,3,2
25,MALE,16,1,73,6,3,20,0,4.1,Subscribed,4,1,50,0,4,1
58,MALE,6,0,27,28,1,4,0,3.8,Subscribed,5,1,39,0,2,3
27,MALE,6,0,23,42,1,14,2,4.6,Subscribed,2,1,34,5,4,1
65,MALE,0,0,49,33,1,13,0,3.0,Subscribed,1,1,29,5,3,3
54,MALE,22,0,74,4,1,21,2,3.0,Subscribed,5,1,31,4,1,0
54,MALE,19,1,67,45,1,17,2,3.4,Subscribed,4,1,8,3,6,0
59,MALE,7,0,65,7,2,17,1,2.6,Subscribed,2,1,5,2,3,3
42,MALE,7,0,60,16,2,24,3,2.8,Subscribed,5,1,7,1,4,2
46,MALE,20,2,31,7,3,9,0,4.0,Subscribed,5,1,30,1,4,0
33,MALE,6,0,27,3,1,8,0,4.0,Subscribed,1,1,14,2,2,2
34,MALE,17,2,80,17,1,11,2,3.0,Subscribed,1,1,5,1,3,2
27,MALE,10,3,30,27,2,6,2,3.3,Subscribed,4,1,3,4,2,1
52,MALE,16,1,25,49,1,12,0,2.6,Subscribed,5,1,46,5,1,0
29,MALE,18,1,35,45,1,2,2,3.6,Subscribed,5,1,4,2,6,1
54,MALE,12,0,67,26,1,22,2,3.9,Subscribed,3,1,42,2,1,0
25,MALE,8,0,46,10,1,21,0,3.4,Subscribed,4,1,30,1,0,1
41,MALE,17,2,35,44,0,3,3,3.5,Subscribed,1,1,37,5,0,2
53,MALE,4,3,86,35,0,22,0,2.8,Subscribed,3,1,2,0,0,0
53,MALE,0,0,81,28,0,1,1,2.7,Subscribed,3,1,30,2,5,0
21,MALE,9,1,42,15,0,11,0,3.7,Subscribed,3,1,47,0,4,1
61,MALE,19,1,43,11,0,10,0,4.3,Subscribed,0,1,21,4,5,3
64,MALE,3,2,31,12,1,22,0,4.9,Subscribed,5,1,9,0,3,3
51,MALE,14,2,81,40,0,8,0,3.3,Subscribed,5,1,12,3,3,0
32,MALE,13,1,61,20,1,0,2,4.7,Subscribed,3,1,4,0,6,2
38,MALE,6,0,96,0,3,17,2,2.8,Subscribed,5,1,10,3,0,2
58,MALE,19,1,29,34,3,0,1,3.6,Subscribed,0,1,26,2,6,3
32,MALE,20,2,33,10,0,5,1,3.0,Subscribed,1,1,40,1,3,2
46,MALE,24,1,32,48,3,19,2,4.5,Subscribed,5,1,34,0,3,0
39,MALE,0,0,56,22,2,10,2,2.9,Subscribed,4,1,31,3,0,2
19,MALE,17,2,94,9,2,17,1,3.3,Subscribed,5,1,1,0,1,1
50,MALE,9,1,53,3,1,16,1,3.1,Subscribed,1,1,5,0,1,0
36,MALE,2,1,82,47,1,12,0,4.4,Subscribed,3,1,4,2,6,2
65,MALE,4,3,70,13,3,0,0,3.0,Subscribed,2,1,48,5,5,3
64,MALE,8,0,76,43,1,7,0,3.9,Subscribed,2,1,29,1,2,3
46,MALE,17,2,29,26,0,21,2,2.9,Subscribed,1,1,12,4,1,0
36,MALE,1,0,100,33,2,19,0,3.0,Subscribed,4,1,29,5,0,2
51,MALE,0,0,94,24,1,13,1,3.1,Subscribed,1,1,15,3,5,0
51,MALE,10,3,25,31,1,11,0,4.3,Subscribed,2,1,34,2,4,0
38,MALE,3,2,88,46,1,10,2,3.9,Subscribed,3,1,41,2,3,2
59,MALE,15,0,78,39,1,1,0,3.2,Subscribed,0,1,41,2,4,3
57,MALE,12,0,45,43,1,21,3,4.8,Subscribed,4,1,39,2,3,0
54,MALE,8,0,73,11,3,8,2,3.8,Subscribed,1,1,32,1,6,0
25,MALE,5,1,61,37,2,20,2,3.3,Subscribed,3,1,29,5,4,1
69,MALE,2,1,22,24,2,0,0,4.3,Subscribed,2,1,15,0,0,3
57,MALE,8,0,38,26,0,11,1,2.7,Subscribed,1,1,33,5,0,0
70,MALE,15,0,38,13,2,24,0,3.2,Subscribed,3,1,18,0,6,3
24,MALE,20,2,100,2,1,24,0,4.0,Subscribed,5,1,35,1,1,1
67,MALE,16,1,64,10,1,19,3,3.0,Subscribed,4,1,25,4,6,3
24,MALE,24,1,55,48,0,19,2,4.2,Subscribed,2,1,6,5,3,1
62,MALE,6,0,91,38,1,19,2,2.9,Subscribed,1,1,17,0,1,3
57,MALE,19,1,38,48,1,6,1,4.1,Subscribed,5,1,17,2,4,0
55,MALE,14,2,97,22,2,13,3,3.2,Subscribed,5,1,44,1,2,0
45,MALE,10,3,22,44,0,20,0,3.0,Subscribed,0,1,6,4,3,0
69,MALE,19,1,92,40,0,12,0,4.2,Subscribed,0,1,45,3,3,3
67,MALE,7,0,84,45,0,2,0,4.2,Subscribed,1,1,7,3,0,3
30,MALE,7,0,93,27,0,15,0,4.4,Subscribed,5,1,11,3,2,1
24,MALE,10,3,50,10,0,2,2,4.2,Subscribed,3,1,41,1,2,1
62,MALE,15,0,64,29,2,14,1,2.8,Subscribed,0,1,24,4,1,3
43,MALE,18,1,61,20,0,24,1,3.7,Subscribed,2,1,21,5,6,2
35,MALE,22,0,48,35,1,17,3,3.5,Subscribed,3,1,24,0,0,2
28,MALE,24,1,45,4,2,11,1,2.9,Subscribed,5,1,8,2,5,1
32,MALE,1,0,88,27,1,5,1,3.0,Subscribed,2,1,12,1,3,2
39,MALE,20,2,57,2,2,9,1,3.7,Subscribed,1,1,48,3,3,2
28,MALE,8,0,68,32,3,11,2,4.4,Subscribed,5,1,6,0,5,1
47,MALE,6,0,94,31,3,7,1,4.5,Subscribed,0,1,14,4,3,0
20,MALE,13,1,41,49,1,21,1,4.8,Subscribed,2,1,34,4,0,1
63,MALE,21,1,83,40,2,0,2,2.9,Subscribed,2,1,12,1,2,3
25,MALE,10,3,22,3,1,13,1,3.2,Subscribed,3,1,11,0,0,1
29,MALE,17,2,74,42,0,22,1,3.3,Subscribed,2,1,5,4,4,1
50,MALE,11,1,90,38,1,21,3,4.2,Subscribed,4,1,25,5,3,0
18,MALE,21,1,79,28,1,23,1,2.9,Subscribed,5,1,11,2,0,1
70,MALE,14,2,28,34,2,19,1,4.6,Subscribed,3,1,27,4,2,3
66,MALE,15,0,88,43,0,13,0,4.1,Subscribed,4,1,43,2,0,3
28,MALE,2,1,26,41,1,2,1,3.1,Subscribed,0,1,18,3,2,1
54,MALE,12,0,27,10,0,17,3,4.2,Subscribed,1,1,32,0,1,0
19,MALE,23,1,83,2,3,24,0,4.5,Subscribed,3,1,27,0,2,1
20,MALE,6,0,39,40,2,19,2,3.7,Subscribed,3,1,24,2,6,1
43,MALE,22,0,89,29,1,5,3,3.7,Subscribed,2,1,31,3,5,2
38,MALE,4,3,68,33,0,8,3,3.4,Subscribed,3,1,39,4,3,2
50,MALE,5,1,90,14,1,0,2,3.0,Subscribed,5,1,36,3,3,0
64,MALE,19,1,34,34,1,15,0,4.2,Subscribed,2,1,5,1,0,3
49,MALE,13,1,51,44,0,24,2,2.9,Subscribed,1,1,47,2,1,0
47,MALE,23,1,45,25,3,21,3,3.5,Subscribed,2,1,29,0,3,0
36,MALE,9,1,88,7,1,15,3,4.1,Subscribed,2,1,43,5,1,2
55,MALE,4,3,85,31,0,7,2,4.3,Subscribed,5,1,40,3,2,0
25,MALE,12,0,100,16,1,13,3,2.8,Subscribed,0,1,4,3,4,1
53,MALE,1,0,42,36,2,9,1,4.9,Subscribed,0,1,39,4,6,0
49,MALE,14,2,53,38,0,4,2,3.3,Subscribed,3,1,45,5,3,0
35,MALE,22,0,86,27,3,0,1,3.2,Subscribed,1,1,20,5,1,2
29,MALE,23,1,66,25,3,3,1,4.4,Subscribed,4,1,14,3,6,1
47,MALE,1,0,100,37,1,2,3,4.8,Subscribed,1,1,33,4,6,0
53,MALE,7,0,47,1,2,20,0,4.2,Subscribed,4,1,18,2,0,0
33,MALE,19,1,25,23,0,1,0,4.0,Subscribed,1,1,9,0,6,2
21,MALE,7,0,51,49,3,6,3,2.5,Subscribed,4,1,34,4,0,1
32,MALE,18,1,41,7,1,22,2,3.9,Subscribed,2,1,33,5,3,2
52,MALE,3,2,73,35,0,5,3,4.9,Subscribed,0,1,15,0,1,0
67,MALE,22,0,42,13,1,23,3,3.5,Subscribed,5,1,4,4,1,3
43,MALE,15,0,20,19,1,4,1,4.2,Subscribed,2,1,25,3,0,2
58,MALE,12,0,30,40,3,22,1,4.7,Subscribed,1,1,20,2,2,3
20,MALE,7,0,53,47,1,18,2,4.5,Subscribed,1,1,5,2,5,1
61,MALE,6,0,74,0,2,10,1,2.8,Subscribed,1,1,16,1,5,3
32,MALE,11,1,57,17,1,6,0,2.9,Subscribed,4,1,13,3,0,2
38,MALE,8,0,57,25,2,18,3,3.2,Subscribed,0,1,11,2,2,2
21,MALE,11,1,77,4,0,11,3,4.9,Subscribed,4,1,21,2,0,1
37,MALE,13,1,40,10,1,20,2,3.750064716541548,Subscribed,3,1,6,3,0,2
27,MALE,18,1,46,14,1,17,2,4.3,Subscribed,5,1,29,5,4,1
36,MALE,13,1,78,5,2,4,0,3.9,Subscribed,5,1,15,1,0,2
32,MALE,0,0,59,21,1,7,1,3.2,Subscribed,0,1,17,0,1,2
51,MALE,12,0,75,17,0,23,2,3.1,Subscribed,1,1,32,2,6,0
64,MALE,23,1,54,19,1,13,1,3.9,Subscribed,0,1,42,5,0,3
68,MALE,17,2,42,9,1,4,1,2.6,Subscribed,5,1,21,1,4,3
68,MALE,2,1,44,9,1,4,3,3.3,Subscribed,3,1,9,1,1,3
33,MALE,11,1,52,33,3,14,0,4.6,Subscribed,2,1,16,0,0,2
65,MALE,22,0,69,19,3,24,2,4.6,Subscribed,1,1,42,2,3,3
48,MALE,12,0,26,36,1,0,2,4.4,Subscribed,0,1,37,3,1,0
69,MALE,4,3,33,33,2,19,1,4.2,Subscribed,1,1,32,3,5,3
59,MALE,12,0,32,19,1,9,1,3.0,Subscribed,1,1,28,1,1,3
48,MALE,0,0,85,45,3,10,3,4.0,Subscribed,1,1,13,2,6,0
25,MALE,19,1,30,40,3,21,0,3.5,Subscribed,1,1,11,0,3,1
29,MALE,16,1,29,9,1,8,3,3.0,Subscribed,5,1,36,0,1,1
57,MALE,23,1,95,10,1,14,1,3.7,Subscribed,1,1,23,3,0,0
23,MALE,20,2,69,3,0,21,2,4.0,Subscribed,4,1,37,0,4,1
45,MALE,14,2,69,25,2,5,0,4.2,Subscribed,0,1,21,1,1,0
38,MALE,1,0,61,35,3,4,1,2.5,Subscribed,4,1,22,3,1,2
21,MALE,19,1,94,22,1,20,2,3.0,Subscribed,0,1,9,1,4,1
32,MALE,23,1,30,25,2,12,0,3.2,Subscribed,3,1,16,5,0,2
63,MALE,19,1,45,34,1,18,2,3.5,Subscribed,4,1,4,4,5,3
29,MALE,7,0,39,16,3,24,2,4.8,Subscribed,1,1,3,3,1,1
27,MALE,12,0,51,26,0,7,2,2.6,Subscribed,5,1,6,3,0,1
56,MALE,15,0,37,7,0,2,1,3.4,Subscribed,0,1,18,5,3,0
30,MALE,24,1,62,32,1,10,3,3.7,Subscribed,0,1,34,5,1,1
49,MALE,4,3,85,31,1,24,0,4.5,Subscribed,0,1,26,2,4,0
58,MALE,24,1,33,5,1,9,3,3.7,Subscribed,4,1,50,4,6,3
57,MALE,5,1,26,7,3,22,0,3.3,Subscribed,3,1,40,0,4,0
60,MALE,17,2,99,43,1,8,1,4.7,Subscribed,2,1,24,1,5,3
69,MALE,7,0,39,6,1,23,1,2.7,Subscribed,1,1,33,4,0,3
70,MALE,19,1,20,29,1,6,1,4.6,Subscribed,5,1,19,2,2,3
53,MALE,22,0,42,47,1,9,3,2.7,Subscribed,5,1,24,2,5,0
25,MALE,14,2,74,13,2,10,1,4.8,Subscribed,0,1,19,2,6,1
48,MALE,17,2,26,7,3,17,2,4.4,Subscribed,4,1,4,2,1,0
69,MALE,24,1,53,19,1,10,3,4.0,Subscribed,4,1,11,5,2,3
25,MALE,20,2,80,37,1,12,2,3.2,Subscribed,3,1,28,4,3,1
29,MALE,8,0,98,14,1,20,1,4.4,Subscribed,5,1,24,4,6,1
46,MALE,19,1,95,37,1,8,1,3.8,Subscribed,4,1,25,2,2,0
37,MALE,23,1,44,7,0,13,2,3.6,Subscribed,1,1,27,0,2,2
20,MALE,14,2,60,36,1,21,2,3.3,Subscribed,3,1,49,5,6,1
40,MALE,5,1,84,36,1,8,3,3.4,Subscribed,3,1,45,2,1,2
60,MALE,23,1,59,43,1,20,0,3.5,Subscribed,0,1,26,4,0,3
26,MALE,10,3,49,33,2,23,2,3.6,Subscribed,1,1,4,1,0,1
29,MALE,6,0,32,8,1,14,3,3.2,Subscribed,2,1,3,2,2,1
66,MALE,7,0,29,19,1,0,0,3.7,Subscribed,4,1,45,5,1,3
66,MALE,5,1,22,22,1,24,1,4.5,Subscribed,4,1,21,1,3,3
56,MALE,13,1,85,25,1,4,3,4.6,Subscribed,4,1,50,1,3,0
69,MALE,11,1,52,38,0,19,3,4.1,Subscribed,5,1,19,0,4,3
38,MALE,13,1,89,20,0,8,1,3.4,Subscribed,3,1,6,4,0,2
42,MALE,5,1,77,44,1,16,1,3.7,Subscribed,1,1,50,2,2,2
30,MALE,13,1,24,29,1,17,2,3.3,Subscribed,5,1,17,3,2,1
66,MALE,12,0,24,48,3,14,1,4.5,Subscribed,1,1,24,3,0,3
36,MALE,7,0,22,4,1,4,0,3.3,Subscribed,2,1,46,5,4,2
58,MALE,23,1,82,47,0,20,0,4.3,Subscribed,4,1,42,1,2,3
45,MALE,0,0,67,40,1,0,3,2.5,Subscribed,4,1,10,1,0,0
47,MALE,18,1,74,18,3,23,1,2.6,Subscribed,4,1,1,1,2,0
66,MALE,12,0,72,15,0,23,2,4.9,Subscribed,4,1,28,3,5,3
41,MALE,20,2,36,44,0,14,2,4.7,Subscribed,2,1,48,3,5,2
41,MALE,1,0,95,41,2,5,3,3.0,Subscribed,4,1,47,2,4,2
66,MALE,9,1,78,41,1,14,3,3.5,Subscribed,3,1,29,4,1,3
37,MALE,16,1,82,49,1,13,2,4.8,Subscribed,4,1,37,5,5,2
70,MALE,13,1,70,44,1,4,3,4.3,Subscribed,2,1,38,3,0,3
62,MALE,15,0,41,29,1,23,0,3.2,Subscribed,5,1,48,0,6,3
61,MALE,4,3,42,14,1,20,2,3.1,Subscribed,2,1,36,4,6,3
48,MALE,4,3,50,8,1,24,0,2.8,Subscribed,2,1,9,2,6,0
